departement	numdep	region	numregion	acc.corps.10	acc.corps.09	tues.10	tues.09	blesses.10	blesses.09	population	ratio	neoregion	neonumregion
Deux-Sevres	D79	Poitou_Charentes	R20	225	279	37	33	251	312	367190	100.8	Nouvelle_Aquitaine	R75
Somme	D80	Picardie	R19	630	716	51	52	801	879	569041	89.6	Hauts_de_France	R32
Tarn	D81	Midi_Pyrenees	R14	181	198	49	39	232	264	374501	130.8	Occitanie	R76
Tarn-et-Garonne	D82	Midi_Pyrenees	R14	198	213	34	32	224	242	239228	142.1	Occitanie	R76
Var	D83	Provence_Alpes_Cote_dAzur	R21	1100	1267	90	94	1447	1670	1010291	89.1	Provence_Alpes_Cote_dAzur	R93
Vaucluse	D84	Provence_Alpes_Cote_dAzur	R21	367	531	52	49	496	694	542370	95.9	Provence_Alpes_Cote_dAzur	R93
Vendee	D85	Pays_De_Loire	R18	320	343	70	62	398	468	624865	112	Pays_de_la_Loire	R52
Vienne	D86	Poitou_Charentes	R20	323	349	36	22	426	474	426924	84.3	Nouvelle_Aquitaine	R75
Haute-Vienne	D87	Limousin	R12	556	572	19	29	715	718	375914	50.5	Nouvelle_Aquitaine	R75
Vosges	D88	Lorraine	R13	244	315	40	35	312	396	379605	105.4	Grand_Est	R44
Yonne	D89	Bourgogne	R04	276	309	32	42	376	421	343110	93.3	Bourgogne_Franche_Comté	R27
Territoire-de-Belfort	D90	Franche_Comte	R09	205	277	7	7	261	332	142273	49.2	Bourgogne_Franche_Comté	R27
Essonne	D91	Ile_De_France	R10	1429	1444	40	27	1805	1798	1212393	33	Ile_De_France	R11
Hauts-de-Seine	D92	Ile_De_France	R10	2489	2668	28	18	2844	3085	1560870	17.9	Ile_De_France	R11
Seine-Saint-Denis	D93	Ile_De_France	R10	2900	2561	39	43	3442	3033	1519071	25.7	Ile_De_France	R11
Val-de-Marne	D94	Ile_De_France	R10	2359	2463	27	28	2767	2942	1319227	20.5	Ile_De_France	R11
Val-d'Oise	D95	Ile_De_France	R10	1154	860	33	31	1413	1032	1171137	28.2	Ile_De_France	R11
Guadeloupe	971	Guadeloupe	R23	506	498	65	65	679	701	403257	161.2	Guadeloupe	R01
Martinique	972	Martinique	R24	456	536	37	29	593	716	398733	92.8	Martinique	R02
Guyane	973	Guyane	R25	322	340	36	28	448	452	225751	159.5	Guyane	R03
Reunion	974	Reunion	R26	807	720	42	48	992	910	821168	51.1	Reunion	R04
